GENESIS-Tabelle: 61111-0003
Consumer price index: Germany, years, individual consumption;;;;;;
by purpose (COICOP 2-5-digit hierarchy);;;;;;
Consumer price index for Germany;;;;;;
Germany;;;;;;
Consumer price index (2020=100);;;;;;
;;2019;2020;2021;2022;2023
CC13-01;Food and non-alcoholic beverages;97.9;100.0;103.1;116.0;130.3
CC13-011;  Food;97.8;100.0;103.1;116.9;131.4
CC13-0111;    Bread and cereals;99.2;100.0;103.3;116.8;135.9
CC13-01111;      Rice, including rice preparations;98.7;100.0;102.6;115.7;135.5
CC13-01112;      Flour and other cereals;100.2;100.0;104.1;134.2;157.6
CC13-01113;      Bread and bread rolls;98.6;100.0;103.8;117.8;132.5
CC13-01114;      Other bakery products;99.6;100.0;103.6;115.7;140.6
CC13-01115;      Pizza, quiches or the like;101.1;100.0;101.8;113.5;136.1
CC13-01116;      Pasta;98.8;100.0;102.3;122.5;144.9
CC13-01117;      Breakfast cereals;99.8;100.0;102.5;111.5;131.4
CC13-01118;      Other cereal products;100.6;100.0;100.7;106.1;114.6
CC13-0112;    Meat and meat products;94.3;100.0;102.8;117.7;127.5
CC13-01121;      Beef and veal;98.6;100.0;103.2;123.0;129.7
CC13-01122;      Pork;91.9;100.0;102.5;119.6;127.9
CC13-01123;      Lamb, goat meat;99.3;100.0;103.8;119.8;128.9
CC13-01124;      Poultry;98.6;100.0;104.9;128.9;142.5
CC13-01125;      Other meats;99.6;100.0;102.1;106.0;119.4
CC13-01126;      Liver or other edible offal;98.8;100.0;102.0;109.4;117.5
CC13-01127;      Meat products and sausages;92.8;100.0;102.0;113.7;123.8
CC13-01128;      Other meat, processed and prepared;93.7;100.0;103.0;116.1;126.4
CC13-0113;    Fish, fish products and seafood;99.2;100.0;102.0;112.6;129.1
CC13-01131;      Fresh or chilled fish and fish filets;97.2;100.0;103.4;117.5;128.9
CC13-01132;      Frozen fish and fish filets;97.0;100.0;101.7;112.6;134.4
CC13-01133;      Fresh or chilled seafood;100.1;100.0;101.4;106.9;113.8
CC13-01134;      Frozen seafood;101.1;100.0;99.7;102.0;107.6
CC13-01135;      Dried, smoked or salted fish;100.1;100.0;98.3;111.1;125.6
CC13-01136;      Tinned fish and other fish preparations;99.6;100.0;103.1;114.2;133.0
CC13-0114;    Dairy products and eggs;99.2;100.0;103.9;124.2;143.7
CC13-01141;      Whole milk;96.2;100.0;104.0;124.8;136.3
CC13-01142;      Low fat milk;95.2;100.0;104.8;127.8;142.1
CC13-01143;      Condensed milk;98.2;100.0;103.4;128.9;159.9
CC13-01144;      Yoghurt ;100.9;100.0;101.6;117.7;134.9
CC13-01145;      Cheese and curd;99.7;100.0;103.8;124.6;149.1
CC13-01146;      Other dairy products;101.0;100.0;102.7;122.0;141.5
CC13-01147;      Eggs;98.3;100.0;107.2;128.0;136.4
CC13-0115;    Edible fats and oils;104.6;100.0;105.4;144.9;139.9
CC13-01151;      Butter;107.2;100.0;105.1;146.4;120.3
CC13-01152;      Margarine or vegetable fat;99.7;100.0;105.8;134.2;162.9
CC13-01153;      Olive oil;103.9;100.0;101.0;113.7;145.0
CC13-01154;      Sunflower oil, rapeseed oil or the like;100.2;100.0;111.1;183.6;187.0
CC13-01155;      Lard or other fats of animal origin;97.9;100.0;104.1;122.5;131.8
CC13-0116;    Fruit;93.5;100.0;101.6;105.7;114.4
CC13-01161;      Fresh or chilled fruit;92.3;100.0;101.6;105.0;112.2
CC13-01162;      Frozen fruit;99.1;100.0;103.4;124.8;131.8
CC13-01163;      Dried fruit, nuts or the like;98.2;100.0;100.4;104.5;115.8
CC13-01164;      Tinned fruit;98.4;100.0;104.6;114.0;137.5
CC13-0117;    Vegetables;99.7;100.0;104.2;116.7;132.2
CC13-01171;      Fresh or chilled vegetables (excluding potatoes);97.7;100.0;104.4;115.8;127.3
CC13-01172;      Frozen vegetables (excluding potatoes);97.6;100.0;105.0;113.0;134.0
CC13-01173;      Dried vegetables and preserved vegetables;97.7;100.0;107.2;124.3;149.5
CC13-01174;      Fresh, chilled and processed potatoes;109.1;100.0;100.4;114.7;134.7
CC13-01175;      Potato crisps and potato sticks;101.2;100.0;103.8;118.1;145.5
CC13-0118;    Sugar, jam, honey and other confectionery;99.1;100.0;103.3;109.8;127.0
CC13-01181;      Sugar;88.5;100.0;104.0;118.5;180.6
CC13-01182;      Jam, marmelade, honey or the like;100.5;100.0;101.6;112.7;128.5
CC13-01183;      Chocolate;99.8;100.0;104.3;110.1;126.5
CC13-01184;      Confectionery products;99.4;100.0;103.1;106.5;119.8
CC13-01185;      Ice cream;99.2;100.0;103.3;108.9;123.6
CC13-01186;      Sweeteners ;103.0;100.0;94.5;104.2;119.0
CC13-0119;    Food products n.e.c.;99.9;100.0;101.7;111.2;129.5
CC13-01191;      Sauces and condiments;99.8;100.0;102.4;115.4;143.1
CC13-01192;      Table salt, culinary herbs and flavourings;100.5;100.0;100.5;107.5;118.3
CC13-01193;      Baby food;96.7;100.0;104.2;111.1;122.2
CC13-01194;      Convenience food n.e.c.;101.2;100.0;100.7;105.8;118.4
CC13-01199;      Soups and other food preparations;99.8;100.0;101.7;111.3;127.0
CC13-012;  Non-alcoholic beverages;99.0;100.0;102.7;110.1;121.7
CC13-0121;    Coffee, tea and cocoa;100.7;100.0;103.0;114.9;120.5
CC13-01211;      Coffee or the like;100.9;100.0;103.5;117.9;122.5
CC13-01212;      Tea;100.2;100.0;101.7;105.4;111.9
CC13-01213;      Cocoa powder or the like;97.9;100.0;99.7;107.6;127.8
CC13-0122;    Mineral water, soft drinks and juices;98.3;100.0;102.7;107.9;122.2
CC13-01221;      Mineral water;99.8;100.0;102.2;109.5;120.9
CC13-01222;      Refreshments (excluding mineral water);96.3;100.0;103.4;108.3;120.6
CC13-01223;      Fruit and vegetable juices;98.7;100.0;102.1;105.4;126.2
CC13-02;Alcoholic beverages and tobacco;98.1;100.0;103.5;107.9;117.1
CC13-021;  Alcoholic beverages;100.7;100.0;101.6;106.0;116.0
CC13-0211;    Spirits;100.5;100.0;101.9;105.1;113.0
CC13-02111;      Liqueur and other spirits;100.5;100.0;101.9;105.1;112.8
CC13-02112;      Refreshments, alcohol content of less than 6%;99.6;100.0;101.2;105.0;117.1
CC13-0212;    Wine;100.6;100.0;101.7;106.4;115.4
CC13-02121;      Wine from grapes;100.5;100.0;101.8;106.6;115.3
CC13-02122;      Pome fruit wine or wine from other fruits;98.9;100.0;102.7;107.5;120.3
CC13-02123;      Wine, alcohol content more than 15%;100.7;100.0;100.9;101.7;108.2
CC13-02124;      Other wine-based drinks;102.8;100.0;99.1;103.4;117.2
CC13-0213;    Beer;101.0;100.0;101.3;106.2;118.5
CC13-02131;      Pils, dark beer or other lager beer;101.3;100.0;101.1;106.1;118.3
CC13-02132;      Wheat beer, Alt beer or other top-fermented beer;99.3;100.0;102.1;106.0;117.0
CC13-02133;      Non-alcoholic beer, malt beer or the like;100.6;100.0;102.1;107.3;119.9
CC13-02134;      Beer-based drinks;100.1;100.0;101.9;106.1;119.9
CC13-022;  Tobacco;96.1;100.0;105.1;109.3;118.0
CC13-0220;    Tobacco;96.1;100.0;105.1;109.3;118.0
CC13-02201;      Cigarettes;96.3;100.0;105.7;109.6;117.5
CC13-02202;      Cigars and small cigars;96.5;100.0;101.7;103.9;111.3
CC13-02203;      Tobacco, refills or the like for e-cigarettes;95.2;100.0;102.9;109.0;121.3
CC13-03;Clothing and footwear;101.7;100.0;101.5;102.3;106.1
CC13-031;  Clothing;100.9;100.0;101.8;102.6;106.6
CC13-0311;    Clothing materials;101.9;100.0;103.4;105.3;107.4
CC13-03110;      Clothing materials;101.9;100.0;103.4;105.3;107.4
CC13-0312;    Garments;101.0;100.0;101.7;102.3;106.2
CC13-03121;      Men's wear;101.6;100.0;101.6;102.7;106.4
CC13-03122;      Women's wear;100.6;100.0;101.5;101.4;105.2
CC13-03123;      Children's wear;101.3;100.0;103.3;105.9;110.8
CC13-0313;    Other articles of clothing a. clothing accessories;98.4;100.0;102.5;106.6;110.9
CC13-03131;      Other garments;98.4;100.0;102.9;106.3;110.2
CC13-03132;      Clothing accessories;98.0;100.0;100.8;107.8;113.6
CC13-0314;    Dry cleaning, other services relating to clothing;97.8;100.0;102.5;108.4;117.8
CC13-03141;      Dry cleaning, laundering and ironing of garments;97.5;100.0;102.3;109.0;120.6
CC13-03142;      Altering and repair of garments;98.4;100.0;102.7;107.6;113.6
CC13-032;  Footwear;101.7;100.0;99.9;100.5;103.6
CC13-0321;    Shoes and other footwear;101.7;100.0;99.8;100.4;103.3
CC13-03211;      Men's shoes;102.7;100.0;100.4;103.0;106.0
CC13-03212;      Women's shoes;101.6;100.0;99.1;98.5;101.4
CC13-03213;      Children's shoes;99.1;100.0;100.8;101.5;104.2
CC13-0322;    Repair of footwear;97.6;100.0;103.8;110.9;119.2
CC13-03220;      Repair of footwear;97.6;100.0;103.8;110.9;119.2
CC13-04;Housing, water, electricity, gas and other fuels;99.0;100.0;101.7;109.1;114.5
CC13-041;  Actual rentals for housing;98.6;100.0;101.4;103.1;105.2
CC13-0411;    Actual net rent;98.6;100.0;101.4;103.2;105.4
CC13-04110;      Actual net rent;98.6;100.0;101.4;103.2;105.4
CC13-0412;    Other rentals;98.9;100.0;100.9;102.0;103.2
CC13-04122;      Rental for garages or other rents;98.9;100.0;100.9;102.0;103.2
CC13-042;  Imputed net rent;-;100.0;101.1;102.6;104.7
CC13-0421;    Imputed net rent;-;100.0;101.1;102.6;104.7
CC13-04210;      Imputed net rent;-;100.0;101.1;102.6;104.7
CC13-043;  Maintenance and repair of the dwelling;98.9;100.0;104.5;116.3;127.3
CC13-0431;    Materials f. maintenance a. repair of the dwelling;100.5;100.0;103.2;112.6;118.5
CC13-04310;      Materials f. maintenance a. repair of the dwelling;100.5;100.0;103.2;112.6;118.5
CC13-0432;    Services for maintenance a. repair of the dwelling;97.5;100.0;106.0;120.3;136.8
CC13-04321;      Works on gas, water and drainage systems;97.2;100.0;106.9;123.5;143.8
CC13-04322;      Electrical installation;96.9;100.0;107.0;122.8;139.2
CC13-04323;      Works on heating systems and water heating systems;97.6;100.0;106.3;121.9;141.3
CC13-04324;      Works of painters or paperhangers;98.1;100.0;104.9;116.3;129.2
CC13-04325;      Carpentry work;98.6;100.0;106.5;124.4;141.7
CC13-04329;      Small services of other craftsmen;97.6;100.0;104.0;112.6;124.1
CC13-044;  Water supply, misc. services rel. to the dwelling;98.8;100.0;102.4;104.8;109.0
CC13-0441;    Water supply;100.0;100.0;102.9;105.2;110.9
CC13-04410;      Water supply;100.0;100.0;102.9;105.2;110.9
CC13-0442;    Refuse collection;97.3;100.0;103.5;106.1;108.0
CC13-04420;      Refuse collection;97.3;100.0;103.5;106.1;108.0
CC13-0443;    Sewage disposal;99.7;100.0;101.3;103.3;106.6
CC13-04430;      Sewage disposal;99.7;100.0;101.3;103.3;106.6
CC13-0444;    Other services relating to the dwelling n.e.c.;98.5;100.0;102.4;104.8;109.5
CC13-04441;      Real estate, services for gardening or the like;98.6;100.0;102.3;104.6;109.4
CC13-04449;      Chimney sweeping, pavement and street cleaning;97.9;100.0;103.3;105.4;110.7
CC13-045;  Electricity, gas and other fuels;100.3;100.0;102.6;136.1;155.1
CC13-0451;    Electricity;97.0;100.0;101.3;120.8;136.1
CC13-04510;      Electricity;97.0;100.0;101.3;120.8;136.1
CC13-0452;    Gas, including operating costs ;98.8;100.0;103.8;153.8;193.5
CC13-04521;      Natural gas, including operating costs;98.5;100.0;102.7;152.1;194.4
CC13-04522;      Liquefied gas, charging of a tank container;110.5;100.0;143.2;217.8;158.4
CC13-0453;    Heating oil, including operating costs;123.2;100.0;108.5;187.7;176.4
CC13-04530;      Heating oil, including operating costs;123.2;100.0;108.5;187.7;176.4
CC13-0454;    Solid fuels;104.0;100.0;100.9;158.0;169.7
CC13-04541;      Coal briquettes;100.3;100.0;101.2;131.1;197.8
CC13-04549;      Firewood, wood pellets or other solid fuels;104.0;100.0;100.9;158.5;169.2
CC13-0455;    District heating and others;102.1;100.0;101.0;125.8;138.5
CC13-04550;      District heating and others;102.1;100.0;101.0;125.8;138.5
CC13-05;Furniture, lighting equipment, appliances etc.;99.9;100.0;102.7;110.5;117.6
CC13-051;  Furniture, lighting equip., carpets, floor cover.;99.7;100.0;103.6;112.7;120.4
CC13-0511;    Furniture and lighting equipment;99.7;100.0;103.7;113.0;120.8
CC13-05111;      Household furniture;99.7;100.0;103.7;112.6;120.6
CC13-05112;      Garden furniture or camping furniture;99.1;100.0;106.1;118.7;129.3
CC13-05113;      Lighting equipment;100.6;100.0;103.6;109.4;112.5
CC13-05119;      Other furnishings;99.6;100.0;103.1;115.6;123.5
CC13-0512;    Carpets and other elastic floor coverings;99.8;100.0;102.0;110.0;116.9
CC13-05121;      Carpets;101.2;100.0;101.4;109.1;115.8
CC13-05122;      Linoleum or other elastic floor coverings;98.4;100.0;102.7;110.4;115.4
CC13-05123;      Laying and fixing of elastic floor coverings;96.4;100.0;103.4;112.7;122.9
CC13-0513;    Repair of furniture, lighting equip., floor cover.;97.8;100.0;102.9;107.9;112.7
CC13-05130;      Repair of furniture, lighting equip., floor cover.;97.8;100.0;102.9;107.9;112.7
CC13-052;  Household textiles;100.4;100.0;102.0;109.7;115.3
CC13-0520;    Household textiles;100.4;100.0;102.0;109.7;115.3
CC13-05201;      Curtains, curtain fabrics, furniture fabrics etc.;100.7;100.0;101.5;109.4;112.8
CC13-05202;      Bedding and bed linen;99.3;100.0;102.6;109.1;115.9
CC13-05203;      Table linen and bathroom linen;100.9;100.0;100.5;107.4;114.8
CC13-05209;      Other household textiles;102.1;100.0;102.5;113.3;117.8
CC13-053;  Household appliances;100.4;100.0;102.1;106.1;111.7
CC13-0531;    Major household appliances whether electric or not;100.7;100.0;101.7;105.7;110.6
CC13-05311;      Refrigerators, freezers and fridge-freezers;101.2;100.0;102.1;107.0;110.5
CC13-05312;      Washing machines, dishwashers or the like;100.8;100.0;100.1;103.7;108.6
CC13-05313;      Cookers;100.2;100.0;101.0;104.5;110.7
CC13-05314;      Room heaters and air conditioners;99.1;100.0;105.6;111.3;117.7
CC13-05315;      Vacuum cleaners and other cleaning equipment;102.6;100.0;101.5;103.7;108.0
CC13-05319;      Sewing machine, other major household appliances ;99.8;100.0;100.2;100.6;107.5
CC13-0532;    Small electric household appliances;100.1;100.0;102.8;107.0;113.7
CC13-05321;      Electric mixer, blender or the like;99.0;100.0;104.2;105.1;111.7
CC13-05322;      Coffee machines, tea makers and similar appliances;100.8;100.0;103.1;108.1;112.6
CC13-05323;      Iron;98.3;100.0;100.4;105.1;117.4
CC13-05324;      Toaster or barbecue grill;100.1;100.0;99.1;106.5;112.6
CC13-05329;      Egg boiler, small electric household appliances;101.1;100.0;101.1;108.8;119.6
CC13-0533;    Repair of household appliances;98.5;100.0;102.7;107.8;114.6
CC13-05330;      Repair of household appliances;98.5;100.0;102.7;107.8;114.6
CC13-054;  Glassware, tableware, other semi-durables,durables;100.2;100.0;102.2;108.4;112.5
CC13-0540;    Glassware, tableware, other semi-durables,durables;100.2;100.0;102.2;108.4;112.5
CC13-05401;      Tableware, glassware and crystal ware;100.5;100.0;103.6;110.5;115.8
CC13-05402;      Cutlery, flatware and silverware;99.9;100.0;102.6;106.1;109.7
CC13-05403;      Non-electric kitchen utensils and articles;100.2;100.0;101.7;108.0;111.9
CC13-055;  Tools and appliances for house and garden;100.8;100.0;101.6;105.9;110.3
CC13-0551;    Motor-driven tools or the like for house/garden;102.2;100.0;100.9;103.2;107.5
CC13-05511;      Motor-driven tools and appliances;102.5;100.0;101.0;103.2;107.6
CC13-05512;      Rental of motor-driven tools and appliances;100.0;100.0;99.8;102.6;106.6
CC13-0552;    Gardening tools,equip.,other semi-durables,durabl.;100.2;100.0;101.9;107.2;111.6
CC13-05521;      Non-electric small tools;100.7;100.0;102.4;108.7;114.7
CC13-05522;      Other semi-durables and durables for housekeeping;99.8;100.0;101.6;106.4;110.1
CC13-056;  Goods and services for housekeeping;98.4;100.0;102.5;113.7;125.2
CC13-0561;    Non-durable goods for housekeeping;99.7;100.0;101.6;113.3;124.5
CC13-05611;      Cleaning and care products;99.4;100.0;100.7;113.3;125.9
CC13-05612;      Other non-durable consumer goods;100.0;100.0;102.2;113.3;123.4
CC13-0562;    Domestic services and other household services;96.8;100.0;103.7;114.2;126.0
CC13-05621;      Domestic services by paid staff;95.3;100.0;101.6;117.0;136.0
CC13-05622;      Cleaning of carpets, household linen or the like;99.0;100.0;101.9;107.0;114.5
CC13-05629;      Other services for housekeeping;98.2;100.0;105.8;112.9;119.0
CC13-06;Health;98.7;100.0;100.5;101.8;104.9
CC13-061;  Medical products, appliances and equipment;98.5;100.0;101.3;103.1;107.5
CC13-0611;    Pharmaceutical products ;99.5;100.0;101.6;103.6;107.5
CC13-06110;      Pharmaceutical products;99.5;100.0;101.6;103.6;107.5
CC13-0612;    Other medical products;95.3;100.0;101.1;101.9;106.8
CC13-06121;      Pregnancy tests, condoms or the like;97.8;100.0;102.0;104.0;111.2
CC13-06129;      Other medical products n.e.c.;95.4;100.0;101.1;101.8;106.4
CC13-0613;    Therapeutic appliances and equipment;100.0;100.0;101.1;103.4;108.2
CC13-06131;      Glasses and contact lenses;99.9;100.0;101.0;102.9;107.6
CC13-06132;      Hearing aids;100.4;100.0;101.8;102.8;104.5
CC13-06133;      Repair of therapeutic appliances and equipment;99.5;100.0;99.1;101.5;108.1
CC13-06139;      Other therapeutic appliances and equipment;100.7;100.0;102.9;107.6;113.1
CC13-062;  Outpatient services;100.0;100.0;98.9;99.5;101.0
CC13-0621;    Medical services;100.0;100.0;100.0;100.0;100.0
CC13-06211;      Medical services of general medicine;100.0;100.0;100.0;100.0;100.0
CC13-06212;      Medical services of specialists;100.0;100.0;100.0;100.0;100.0
CC13-0622;    Dental services;100.9;100.0;95.8;96.7;99.7
CC13-06220;      Dental services;100.9;100.0;95.8;96.7;99.7
CC13-0623;    Paramedical services;97.8;100.0;101.4;103.9;107.3
CC13-06231;      Services of laboratories and radiodiagnostics;100.0;100.0;100.0;100.0;100.0
CC13-06232;      Medicinal baths, physiotherapy, ambulance transp.;95.8;100.0;102.7;108.0;114.7
CC13-06239;      Other non-medical services;99.5;100.0;100.4;100.9;101.9
CC13-063;  Hospital services;96.1;100.0;102.4;103.9;107.2
CC13-0630;    Hospital services;96.1;100.0;102.4;103.9;107.2
CC13-06300;      Hospital services;96.1;100.0;102.4;103.9;107.2
CC13-07;Transport;102.4;100.0;107.7;120.0;123.6
CC13-071;  Purchase of vehicles;99.2;100.0;104.4;113.9;121.1
CC13-0711;    Passenger cars (excluding campers);99.3;100.0;104.3;114.5;122.7
CC13-07111;      New passenger car;99.0;100.0;104.6;110.3;117.2
CC13-07112;      Used passenger car;100.1;100.0;103.4;125.3;137.1
CC13-0712;    Motorcycles;98.5;100.0;104.8;110.5;113.3
CC13-07120;      Motorcycles;98.5;100.0;104.8;110.5;113.3
CC13-0713;    Bicycles;99.7;100.0;106.3;113.5;113.7
CC13-07130;      Bicycle;99.7;100.0;106.3;113.5;113.7
CC13-072;  Goods and services for vehicles;103.7;100.0;112.0;129.4;129.7
CC13-0721;    Spare parts and accessories for vehicles;100.1;100.0;102.8;110.1;119.4
CC13-07211;      Tyres;99.4;100.0;103.6;113.5;125.1
CC13-07212;      Other spare parts for cars;101.7;100.0;102.1;107.3;114.5
CC13-07213;      Accessories for vehicles;100.0;100.0;102.1;107.4;114.9
CC13-0722;    Fuels and lubricants for vehicles;110.9;100.0;122.3;154.2;145.5
CC13-07221;      Diesel fuel;112.4;100.0;124.0;173.2;153.7
CC13-07222;      Supergrade petrol;110.6;100.0;122.1;148.7;142.8
CC13-07223;      Liquefied petroleum gas and other fuels;103.9;100.0;122.2;174.7;180.0
CC13-07224;      Motor oil and other lubricants;100.4;100.0;103.0;111.4;119.2
